.structStaticCharacterROMEntry 1,.structDynamicCharacterROMEntry,.structEnemyCharacterROMEntry,Type,HP,STR,MAG,SKL,SPD,DEF,RES,LUK,Class,Level,LeadershipStars,Money,ID,Name,GenerationID,Gender,Unknown,HPGrowth,STRGrowth,MAGGrowth,SKLGrowth,SPDGrowth,DEFGrowth,RESGrowth,LUKGrowth,Skills1,Skills2,Skills3,Ancestry1,Ancestry2,Equipment1,Equipment2,UniqueEquipment,Influence
,,AgustiArmy2,UnitTypeEnemy,,,,,,,,,LanceArmor,10,0,,$007D,AgustiArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,Javelin,NoItem,NoItem,
,,Commander6,UnitTypeEnemy,,,,,,,,,Paladin,14,1,,$007E,Commander6Name,,Genderless,$FF,,,,,,,,,,,,,,SteelSword,NoItem,NoItem,
,,AgustiArmy3,UnitTypeEnemy,,,,,,,,,Cavalier,12,0,,$007F,AgustiArmy3Name,,Genderless,$FF,,,,,,,,,,,,,,IronSword,NoItem,NoItem,
,,Commander7,UnitTypeEnemy,,,,,,,,,Banneret,15,1,,$0080,Commander7Name,,Genderless,$FF,,,,,,,,,,,,,,SteelLance,Javelin,NoItem,
,,AgustiArmy4,UnitTypeEnemy,,,,,,,,,LanceKnight,12,0,,$0081,AgustiArmy4Name,,Genderless,$FF,,,,,,,,,,,,,,IronLance,NoItem,NoItem,
,,ErinysSquad,UnitTypeEnemy,,,,,,,,,PegasusKnight,3,0,,$0082,ErinysSquadName,,Genderless,$FF,,,,,,,,,,,,,,Javelin,NoItem,NoItem,
,,Zayin,UnitTypeEnemy,,,,,,,,,Banneret,21,3,,$0083,ZayinName,,GenderMale,$FF,,,,,,,,,,,,,,Ridersbane,Javelin,PI_Ridersbane,
,,AgustiArmy5,UnitTypeEnemy,,,,,,,,,Troubadour,12,0,,$0084,AgustiArmy5Name,,Genderless,$FF,,,,,,,,,,,,,,SlimSword,MendStaff,NoItem,
,,AgustiArmy6,UnitTypeEnemy,,,,,,,,,LanceKnight,13,0,,$0085,AgustiArmy6Name,,Genderless,$FF,,,,,,,,,,,,,,IronLance,NoItem,NoItem,
,,AgustiArmy7,UnitTypeEnemy,,,,,,,,,AxeKnight,10,0,,$0086,AgustiArmy7Name,,Genderless,$FF,,,,,,,,,,,,,,IronAxe,NoItem,NoItem,
,,AgustiArmy8,UnitTypeEnemy,,,,,,,,,ArcherKnight,9,0,,$0087,AgustiArmy8Name,,Genderless,$FF,,,,,,,,,,,,,,IronBow,NoItem,NoItem,
,,Aoife,UnitTypeEnemy,,,,,,,,,Paladin,18,0,,$0088,AoifeName,,GenderMale,$FF,,,,,,,,,,,,,,SteelSword,Javelin,NoItem,
,,Ailbhe,UnitTypeEnemy,,,,,,,,,Paladin,18,0,,$0089,AilbheName,,GenderMale,$FF,,,,,,,,,,,,,,SteelSword,Javelin,NoItem,
,,Jacobi,UnitTypeEnemy,,,,,,,,,Forester,20,2,,$008A,JacobiName,,GenderMale,$01,,,,,,,,,,,,,,LevinSword,NoItem,PI_LevinSword,
,,MadinoArmy1,UnitTypeEnemy,,,,,,,,,Bishop,18,0,,$008B,MadinoArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,Fortify,NoItem,NoItem,
,,MadinoArmy2,UnitTypeEnemy,,,,,,,,,Mage,15,0,,$008C,MadinoArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,Fire,NoItem,NoItem,
,,MadinoArmy3,UnitTypeEnemy,,,,,,,,,SwordArmor,12,0,,$008D,MadinoArmy3Name,,Genderless,$FF,,,,,,,,,,,,,,SteelSword,NoItem,NoItem,
,,MadinoArmy4,UnitTypeEnemy,,,,,,,,,BowArmor,11,0,,$008E,MadinoArmy4Name,,Genderless,$FF,,,,,,,,,,,,,,SteelBow,NoItem,NoItem,
,,MadinoArmy5,UnitTypeEnemy,,,,,,,,,LanceArmor,13,0,,$008F,MadinoArmy5Name,,Genderless,$FF,,,,,,,,,,,,,,SteelLance,NoItem,NoItem,
,,Commander8,UnitTypeEnemy,,,,,,,,,General,15,1,,$0090,Commander8Name,,Genderless,$FF,,,,,,,,,,,,,,SteelBlade,SteelBow,NoItem,
,,MadinoArmy6,UnitTypeEnemy,,,,,,,,,AxeArmor,10,0,,$0091,MadinoArmy6Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,Commander9,UnitTypeEnemy,,,,,,,,,BowKnight,13,1,,$0092,Commander9Name,,Genderless,$FF,,,,,,,,,,,,,,SteelBow,NoItem,NoItem,
,,MadinoArmy7,UnitTypeEnemy,,,,,,,,,ArcherKnight,8,0,,$0093,MadinoArmy7Name,,Genderless,$FF,,,,,,,,,,,,,,SteelBow,NoItem,NoItem,
,,Commander10,UnitTypeEnemy,,,,,,,,,General,15,1,,$0094,Commander10Name,,Genderless,$FF,,,,,,,,,,,,,,SilverLance,NoItem,NoItem,
,,MadinoArmy8,UnitTypeEnemy,,,,,,,,,LanceArmor,10,0,,$0095,MadinoArmy8Name,,Genderless,$FF,,,,,,,,,,,,,,Javelin,NoItem,NoItem,
,,Commander11,UnitTypeEnemy,,,,,,,,,Banneret,13,1,,$0096,Commander11Name,,Genderless,$FF,,,,,,,,,,,,,,SilverLance,Javelin,NoItem,
,,MadinoArmy9,UnitTypeEnemy,,,,,,,,,LanceKnight,8,0,,$0097,MadinoArmy9Name,,Genderless,$FF,,,,,,,,,,,,,,SteelLance,NoItem,NoItem,
,,Commander12,UnitTypeEnemy,,,,,,,,,FireMage,13,1,,$0098,Commander12Name,,Genderless,$FF,,,,,,,,,,,,,,Elfire,NoItem,NoItem,
,,MadinoArmy10,UnitTypeEnemy,,,,,,,,,Mage,8,0,,$0099,MadinoArmy10Name,,Genderless,$FF,,,,,,,,,,,,,,Fire,NoItem,NoItem,
,,Commander13,UnitTypeEnemy,,,,,,,,,IronBallistician,13,1,,$009A,Commander13Name,,Genderless,$FF,,,,,,,,,,,,,,IronBallista,NoItem,NoItem,
,,MadinoArmy11,UnitTypeEnemy,,,,,,,,,Ballistician,8,0,,$009B,MadinoArmy11Name,,Genderless,$FF,,,,,,,,,,,,,,Ballista,NoItem,NoItem,
,,Pirate1,UnitTypeEnemy,,,,,,,,,Pirate,8,1,,$009C,Pirate1Name,,Genderless,$FF,,,,,,,,,,,,,,IronAxe,NoItem,NoItem,
,,Commander14,UnitTypeEnemy,,,,,,,,,LanceArmor,15,1,,$009D,Commander14Name,,Genderless,$FF,,,,,,,,,,,,,,Javelin,NoItem,NoItem,
,,SylvaleArmy1,UnitTypeEnemy,,,,,,,,,LanceArmor,10,0,,$009E,SylvaleArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,Javelin,NoItem,NoItem,
EldiganCh03,,,UnitTypeHoly,65,13,2,9,11,15,15,7,Paladin,25,5,1,$009F,EldiganCh03Name,$80,GenderMale,$00,0,0,0,0,0,0,0,0,None,None,None,None,PrimaryHothrAncestry,Mystletainn,NoItem,NoItem,
,,CrossKnight2,UnitTypeEnemy,,,,,,,,,Cavalier,15,0,,$00A0,CrossKnight2Name,,GenderMale,$FF,,,,,,,,,,,,,,SteelSword,Javelin,NoItem,
,,ChagallCh03,UnitTypeEnemy,,,,,,,,,Baron,25,2,,$00A1,ChagallCh03Name,,GenderMale,$01,,,,,,,,,,,,,,SilverBlade,Bolganone,PI_SilverBlade1,
,,SylvaleArmy2,UnitTypeEnemy,,,,,,,,,LanceArmor,12,0,,$00A2,SylvaleArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,SteelLance,NoItem,NoItem,
,,SylvaleArmy3,UnitTypeEnemy,,,,,,,,,BowArmor,12,0,,$00A3,SylvaleArmy3Name,,Genderless,$FF,,,,,,,,,,,,,,SteelBow,NoItem,NoItem,
,,Papilio,UnitTypeEnemy,,,,,,,,,WyvernKnight,20,2,,$00A4,PapilioName,,Genderless,$FF,,,,,,,,,,,,,,SteelSword,HealBracelet,PI_HealBracelet2,
,,ThraciaArmy1,UnitTypeEnemy,,,,,,,,,WyvernRider,8,0,,$00A5,ThraciaArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,IronLance,NoItem,NoItem,
,,Pirate2,UnitTypeEnemy,,,,,,,,,Hunter,12,0,,$00A6,Pirate2Name,,Genderless,$FF,,,,,,,,,,,,,,SteelBow,NoItem,NoItem,
,,Pirate3,UnitTypeEnemy,,,,,,,,,Pirate,10,0,,$00A7,Pirate3Name,,Genderless,$FF,,,,,,,,,,,,,,HandAxe,NoItem,NoItem,
,,Pirate4,UnitTypeEnemy,,,,,,,,,Pirate,14,0,,$00A8,Pirate4Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,Pirate5,UnitTypeEnemy,,,,,,,,,SwordFighter,10,0,,$00A9,Pirate5Name,,Genderless,$FF,,,,,,,,,,,,,,SteelSword,NoItem,NoItem,
,,Dobar,UnitTypeEnemy,,,,,,,,,Warrior,20,2,,$00AA,DobarName,,Genderless,$01,,,,,,,,,,,,,,HandAxe,PowerRing,PI_PowerRing1,
,,Pirate6,UnitTypeEnemy,,,,,,,,,Pirate,14,0,,$00AB,Pirate6Name,,Genderless,$FF,,,,,,,,,,,,,,HandAxe,NoItem,NoItem,
,,Pisear,UnitTypeEnemy,,,,,,,,,Warrior,20,2,,$00AC,PisearName,,Genderless,$FF,,,,,,,,,,,,,,SilverAxe,LegRing,PI_LegRing,
,,Pirate7,UnitTypeEnemy,,,,,,,,,Pirate,12,0,,$00AD,Pirate7Name,,Genderless,$FF,,,,,,,,,,,,,,IronAxe,NoItem,NoItem,
,,Pirate8,UnitTypeEnemy,,,,,,,,,Pirate,14,0,,$00AE,Pirate8Name,,Genderless,$FF,,,,,,,,,,,,,,HandAxe,NoItem,NoItem,
,,Pirate9,UnitTypeEnemy,,,,,,,,,Pirate,12,1,,$00AF,Pirate9Name,,Genderless,$FF,,,,,,,,,,,,,,IronAxe,NoItem,NoItem,
,,Pirate10,UnitTypeEnemy,,,,,,,,,Pirate,12,1,,$00B0,Pirate10Name,,Genderless,$FF,,,,,,,,,,,,,,IronAxe,NoItem,NoItem,
,,Arvis,UnitTypeEnemy,,,,,,,,,MageFighter,20,5,,$00B1,Arvis1Name,,Genderless,$FF,,,,,,,,,,,,,,Valflame,NoItem,NoItem,
,,LombardCh03,UnitTypeEnemy,,,,,,,,,Baron,30,4,,$00B2,LombardCh03Name,,Genderless,$FF,,,,,,,,,,,,,,Helswath,NoItem,NoItem,
,,Grauritter1,UnitTypeEnemy,,,,,,,,,GreatKnight,20,0,,$00B3,Grauritter1Name,,Genderless,$FF,,,,,,,,,,,,,,SilverAxe,HandAxe,NoItem,
,,ReptorCh03,UnitTypeEnemy,,,,,,,,,Baron,30,4,,$00B4,ReptorCh03Name,,Genderless,$FF,,,,,,,,,,,,,,Mjolnir,NoItem,NoItem,
,,Gelbritter1,UnitTypeEnemy,,,,,,,,,MageKnight,20,0,,$00B5,Gelbritter1Name,,Genderless,$FF,,,,,,,,,,,,,,SlimSword,Elthunder,NoItem,
,,AnnandUnused,UnitTypeEnemy,,,,,,,,,FalconKnight,25,3,,$00B6,AnnandUnusedName,,Genderless,$FF,,,,,,,,,,,,,,SilverSword,Javelin,NoItem,
,,SilesseArmy1,UnitTypeEnemy,,,,,,,,,PegasusKnight,20,0,,$00B7,SilesseArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,SlimSword,NoItem,NoItem,
,,Myos,UnitTypeEnemy,,,,,,,,,Baron,22,2,,$00B8,MyosName,,Genderless,$01,,,,,,,,,,,,,,Tornado,NoItem,NoItem,
,,TofaArmy1,UnitTypeEnemy,,,,,,,,,LanceArmor,19,0,,$00B9,TofaArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,Javelin,NoItem,NoItem,
,,TofaArmy2,UnitTypeEnemy,,,,,,,,,WindMage,17,0,,$00BA,TofaArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,Elwind,NoItem,NoItem,
,,Commander15,UnitTypeEnemy,,,,,,,,,WindMage,18,1,,$00BB,Commander15Name,,Genderless,$FF,,,,,,,,,,,,,,Elwind,NoItem,NoItem,
,,TofaArmy3,UnitTypeEnemy,,,,,,,,,SwordFighter,15,0,,$00BC,TofaArmy3Name,,Genderless,$FF,,,,,,,,,,,,,,SteelSword,NoItem,NoItem,
,,Kabeiri,UnitTypeEnemy,,,,,,,,,Bishop,22,3,,$00BD,KabeiriName,,Genderless,$FF,,,,,,,,,,,,,,SleepStaff,PhysicStaff,NoItem,
,,TofaArmy4,UnitTypeEnemy,,,,,,,,,WindMage,15,0,,$00BE,TofaArmy4Name,,Genderless,$FF,,,,,,,,,,,,,,Elwind,NoItem,NoItem,
,,Commander16,UnitTypeEnemy,,,,,,,,,MageFighter,20,1,,$00BF,Commander16Name,,Genderless,$FF,,,,,,,,,,,,,,Blizzard,SlimSword,NoItem,
,,TofaArmy5,UnitTypeEnemy,,,,,,,,,WindMage,18,0,,$00C0,TofaArmy5Name,,Genderless,$FF,,,,,,,,,,,,,,Blizzard,Elwind,NoItem,
,,TofaArmy6,UnitTypeEnemy,,,,,,,,,WindMage,8,1,,$00C1,TofaArmy6Name,,Genderless,$FF,,,,,,,,,,,,,,Blizzard,NoItem,NoItem,
,,Dithorba,UnitTypeEnemy,,,,,,,,,FalconKnight,21,3,,$00C2,DithorbaName,,Genderless,$FF,,,,,,,,,,,,,,SilverSword,MiracleBracelet,NoItem,
,,DithorbaSquad,UnitTypeEnemy,,,,,,,,,PegasusKnight,18,0,,$00C3,DithorbaSquadName,,Genderless,$FF,,,,,,,,,,,,,,SlimLance,SlimSword,NoItem,
,,Pirate11,UnitTypeEnemy,,,,,,,,,Pirate,20,1,,$00C4,Pirate11Name,,Genderless,$FF,,,,,,,,,,,,,,IronAxe,NoItem,NoItem,
,,SilesseArmy2,UnitTypeEnemy,,,,,,,,,WindMage,10,1,,$00C5,SilesseArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,Wind,NoItem,NoItem,
,,Decair,UnitTypeEnemy,,,,,,,,,Baron,26,2,,$00C6,DecairName,,Genderless,$01,,,,,,,,,,,,,,Blizzard,Tornado,NoItem,
,,Annand,UnitTypeEnemy,,,,,,,,,FalconKnight,25,3,,$00C7,AnnandName,,Genderless,$01,,,,,,,,,,,,,,SilverSword,ShieldRing,NoItem,
,,AnnandSquad,UnitTypeEnemy,,,,,,,,,PegasusKnight,18,0,,$00C8,AnnandSquadName,,Genderless,$FF,,,,,,,,,,,,,,SlimLance,SlimSword,NoItem,
,,Pamela,UnitTypeEnemy,,,,,,,,,FalconKnight,23,3,,$00C9,PamelaName,,Genderless,$FF,,,,,,,,,,,,,,SilverLance,ShieldRing,NoItem,
,,PamelaSquad,UnitTypeEnemy,,,,,,,,,PegasusKnight,18,0,,$00CA,PamelaSquadName,,Genderless,$FF,,,,,,,,,,,,,,Javelin,NoItem,NoItem,
AndreyCh04,,,UnitTypeHoly,60,6,2,6,6,6,2,0,BowKnight,22,4,1,$00CB,AndreyCh04Name,$81,GenderMale,$00,0,0,0,0,0,0,0,0,None,None,None,SecondaryUllrAncestry,None,BraveBow,ShieldRing,NoItem,
,,Beigeritter1,UnitTypeEnemy,,,,,,,,,ArcherKnight,18,0,,$00CC,Beigeritter1Name,,Genderless,$FF,,,,,,,,,,,,,,BraveBow,NoItem,NoItem,
,,Civilian1,UnitTypeEnemy,,,,,,,,,Civilian,1,0,,$00CD,Civilian1Name,,GenderMale,$FF,,,,,,,,,,,,,,NoItem,NoItem,NoItem,
,,Civilian2,UnitTypeEnemy,,,,,,,,,Civilian,1,0,,$00CE,Civilian2Name,,GenderFemale,$FF,,,,,,,,,,,,,,NoItem,NoItem,NoItem,
,,Donovan,UnitTypeEnemy,,,,,,,,,General,20,1,,$00CF,DonovanName,,Genderless,$FF,,,,,,,,,,,,,,SteelSword,SteelBow,NoItem,
,,ZaxonArmy1,UnitTypeEnemy,,,,,,,,,AxeFighter,12,1,,$00D0,ZaxonArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,ZaxonArmy2,UnitTypeEnemy,,,,,,,,,WindMage,18,0,,$00D1,ZaxonArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,Elwind,NoItem,NoItem,
,,ZaxonArmy3,UnitTypeEnemy,,,,,,,,,Warrior,15,0,,$00D2,ZaxonArmy3Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,SteelBow,NoItem,
,,ZaxonArmy4,UnitTypeEnemy,,,,,,,,,WindMage,12,1,,$00D3,ZaxonArmy4Name,,Genderless,$FF,,,,,,,,,,,,,,Blizzard,Elwind,NoItem,
,,ZaxonArmy5,UnitTypeEnemy,,,,,,,,,General,20,0,,$00D4,ZaxonArmy5Name,,Genderless,$FF,,,,,,,,,,,,,,SilverLance,SteelBow,NoItem,
,,Lamia,UnitTypeEnemy,,,,,,,,,Swordmaster,25,3,,$00D5,LamiaName,,GenderFemale,$FF,,,,,,,,,,,,,,SilverBlade,HealBracelet,NoItem,
,,Mercenary2,UnitTypeEnemy,,,,,,,,,SwordFighter,22,0,,$00D6,Mercenary2Name,,GenderFemale,$FF,,,,,,,,,,,,,,SleepSword,NoItem,NoItem,
,,Mercenary3,UnitTypeEnemy,,,,,,,,,SwordFighter,22,0,,$00D7,Mercenary3Name,,GenderFemale,$FF,,,,,,,,,,,,,,BraveSword,NoItem,NoItem,
,,Mercenary4,UnitTypeEnemy,,,,,,,,,BowFighter,22,0,,$00D8,Mercenary4Name,,GenderFemale,$FF,,,,,,,,,,,,,,KillerBow,NoItem,NoItem,
,,Mercenary5,UnitTypeEnemy,,,,,,,,,Priest,22,0,,$00D9,Mercenary5Name,,GenderFemale,$FF,,,,,,,,,,,,,,PhysicStaff,NoItem,NoItem,
,,Mercenary6,UnitTypeEnemy,,,,,,,,,ThunderMage,22,0,,$00DA,Mercenary6Name,,GenderFemale,$FF,,,,,,,,,,,,,,Elthunder,NoItem,NoItem,
LombardCh05,,,UnitTypeHoly,75,9,3,9,9,9,3,0,Baron,30,3,5,$00DB,LombardCh05Name,$81,GenderMale,$00,0,0,0,0,0,0,0,0,None,None,None,PrimaryNalAncestry,None,Helswath,NoItem,NoItem,
,,Child1,UnitTypeEnemy,,,,,,,,,Child,1,0,,$00DC,Child1Name,,GenderMale,$FF,,,,,,,,,,,,,,NoItem,NoItem,NoItem,
,,LubeckArmy1,UnitTypeEnemy,,,,,,,,,General,25,0,,$00DD,LubeckArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,BraveAxe,SteelBow,NoItem,
,,Slade,UnitTypeEnemy,,,,,,,,,GreatKnight,20,2,,$00DE,SladeName,,Genderless,$FF,,,,,,,,,,,,,,SilverAxe,NoItem,NoItem,
,,LubeckArmy2,UnitTypeEnemy,,,,,,,,,AxeKnight,17,0,,$00DF,LubeckArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,Commander17,UnitTypeEnemy,,,,,,,,,General,20,1,,$00E0,Commander17Name,,Genderless,$FF,,,,,,,,,,,,,,BraveAxe,NoItem,NoItem,
,,LubeckArmy3,UnitTypeEnemy,,,,,,,,,ThunderMage,17,0,,$00E1,LubeckArmy3Name,,Genderless,$FF,,,,,,,,,,,,,,Elthunder,NoItem,NoItem,
,,LubeckArmy4,UnitTypeEnemy,,,,,,,,,AxeArmor,17,0,,$00E2,LubeckArmy4Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,Bandit3,UnitTypeEnemy,,,,,,,,,Brigand,30,1,,$00E3,Bandit3Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,Commander18,UnitTypeEnemy,,,,,,,,,General,20,1,,$00E4,Commander18Name,,Genderless,$FF,,,,,,,,,,,,,,BraveAxe,NoItem,NoItem,
,,LubeckArmy5,UnitTypeEnemy,,,,,,,,,ThunderMage,17,0,,$00E5,LubeckArmy5Name,,Genderless,$FF,,,,,,,,,,,,,,Elthunder,NoItem,NoItem,
,,LubeckArmy6,UnitTypeEnemy,,,,,,,,,AxeArmor,17,0,,$00E6,LubeckArmy6Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,LubeckArmy7,UnitTypeEnemy,,,,,,,,,IronBallistician,20,0,,$00E7,LubeckArmy7Name,,Genderless,$FF,,,,,,,,,,,,,,IronBallista,NoItem,NoItem,
Byron,,,UnitTypeHoly,20,7,7,7,7,7,7,7,MasterKnight,30,1,1,$00E8,ByronName,$81,GenderMale,$00,0,0,0,0,0,0,0,0,None,None,None,PrimaryBaldrAncestry,None,BrokenHolySword,NoItem,NoItem,
AndreyCh05,,,UnitTypeHoly,60,6,2,6,6,6,2,0,BowKnight,22,4,1,$00E9,AndreyCh05Name,$80,GenderMale,$00,0,0,0,0,0,0,0,0,None,None,None,SecondaryUllrAncestry,None,BraveBow,ShieldRing,NoItem,
,,Beigeritter2,UnitTypeEnemy,,,,,,,,,ArcherKnight,18,0,,$00EA,Beigeritter2Name,,Genderless,$FF,,,,,,,,,,,,,,BraveBow,NoItem,NoItem,
,,Vaja,UnitTypeEnemy,,,,,,,,,MageFighterF,21,3,,$00EB,VajaName,,GenderFemale,$01,,,,,,,,,,,,,,Meteor,PrayerSword,NoItem,
,,VelthomerArmy1,UnitTypeEnemy,,,,,,,,,FireMage,18,0,,$00EC,VelthomerArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,Elfire,NoItem,NoItem,
,,Priest1,UnitTypeEnemy,,,,,,,,,Priest,15,0,,$00ED,PriestName,,Genderless,$FF,,,,,,,,,,,,,,SleepStaff,NoItem,NoItem,
,,VelthomerArmy2,UnitTypeEnemy,,,,,,,,,FireMage,18,1,,$00EE,VelthomerArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,Meteor,Elfire,NoItem,
Travant,,,UnitTypeHoly,75,9,3,9,9,9,3,0,WyvernLord,30,5,5,$00EF,Travant1Name,$81,GenderMale,$00,0,0,0,0,0,0,0,0,UnitSkill1Nihil,None,None,PrimaryDainnAncestry,None,Gungnir,RecoverRing,NoItem,
,,Magon,UnitTypeEnemy,,,,,,,,,WyvernLord,25,3,,$00F0,MagonName,,Genderless,$02,,,,,,,,,,,,,,BraveLance,ShieldRing,NoItem,
,,ThraciaArmy2,UnitTypeEnemy,,,,,,,,,WyvernKnight,18,0,,$00F1,ThraciaArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,Ridersbane,NoItem,NoItem,
,,LeonsterArmy,UnitTypeEnemy,,,,,,,,,LanceKnight,15,0,,$00F2,LeonsterArmyName,,Genderless,$FF,,,,,,,,,,,,,,SteelLance,NoItem,NoItem,
,,Aida,UnitTypeEnemy,,,,,,,,,MageFighterF,23,1,,$00F3,AidaName,,GenderFemale,$01,,,,,,,,,,,,,,Meteor,PrayerSword,NoItem,
,,VelthomerArmy3,UnitTypeEnemy,,,,,,,,,FireMage,20,0,,$00F4,VelthomerArmy3Name,,Genderless,$FF,,,,,,,,,,,,,,Meteor,Elfire,NoItem,
ReptorCh05,,,UnitTypeHoly,75,9,23,9,9,9,3,0,Baron,30,4,5,$00F5,ReptorCh05Name,$81,GenderMale,$00,0,0,0,0,0,0,0,0,None,None,None,None,PrimaryThrudAncestry,Mjolnir,HealBracelet,NoItem,
,,FriegeArmy1,UnitTypeEnemy,,,,,,,,,General,22,0,,$00F6,FriegeArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,SilverLance,SteelBow,NoItem,
,,FriegeArmy2,UnitTypeEnemy,,,,,,,,,HighPriest,22,0,,$00F7,FriegeArmy2Name,,GenderMale,$FF,,,,,,,,,,,,,,Fortify,MiracleBracelet,NoItem,
,,FriegeArmy3,UnitTypeEnemy,,,,,,,,,BowArmor,22,0,,$00F8,FriegeArmy3Name,,Genderless,$FF,,,,,,,,,,,,,,SteelBow,NoItem,NoItem,
,,FriegeArmy4,UnitTypeEnemy,,,,,,,,,Forester,22,0,,$00F9,FriegeArmy4Name,,Genderless,$FF,,,,,,,,,,,,,,SilverBlade,NoItem,NoItem,
,,FriegeArmy5,UnitTypeEnemy,,,,,,,,,ThunderMage,22,0,,$00FA,FriegeArmy5Name,,GenderMale,$FF,,,,,,,,,,,,,,Elthunder,NoItem,NoItem,
,,FriegeArmy6,UnitTypeEnemy,,,,,,,,,ThunderMage,22,0,,$00FB,FriegeArmy6Name,,GenderFemale,$FF,,,,,,,,,,,,,,Elthunder,NoItem,NoItem,
,,FriegeArmy7,UnitTypeEnemy,,,,,,,,,LanceArmor,22,0,,$00FC,FriegeArmy7Name,,Genderless,$FF,,,,,,,,,,,,,,SteelLance,Javelin,NoItem,
,,FriegeArmy8,UnitTypeEnemy,,,,,,,,,Sniper,22,0,,$00FD,FriegeArmy8Name,,Genderless,$FF,,,,,,,,,,,,,,SilverBow,NoItem,NoItem,
,,Commander19,UnitTypeEnemy,,,,,,,,,FireMage,25,3,,$00FE,Commander19Name,,Genderless,$FF,,,,,,,,,,,,,,Elfire,NoItem,NoItem,
,,Rotritter1,UnitTypeEnemy,,,,,,,,,FireMage,20,0,,$00FF,Rotritter1Name,,Genderless,$FF,,,,,,,,,,,,,,Elfire,NoItem,NoItem,
,,Commander20,UnitTypeEnemy,,,,,,,,,General,25,3,,$0100,Commander20Name,,Genderless,$FF,,,,,,,,,,,,,,SilverLance,NoItem,NoItem,
,,Rotritter2,UnitTypeEnemy,,,,,,,,,General,20,0,,$0101,Rotritter2Name,,Genderless,$FF,,,,,,,,,,,,,,SilverLance,NoItem,NoItem,
,,Commander21,UnitTypeEnemy,,,,,,,,,MageKnight,25,3,,$0102,Commander21Name,,Genderless,$FF,,,,,,,,,,,,,,BraveSword,Elfire,NoItem,
,,Rotritter3,UnitTypeEnemy,,,,,,,,,MageKnight,20,0,,$0103,Rotritter3Name,,Genderless,$FF,,,,,,,,,,,,,,BraveSword,Elfire,NoItem,
ArvisPrologue,,,UnitTypeHoly,60,15,15,15,15,5,10,0,Sage,25,5,5,$0104,ArvisPrologueName,$81,GenderMale,$00,0,0,0,0,0,0,0,0,UnitSkill1Nihil,None,None,PrimaryFjalarAncestry,SecondaryLoptousAncestry,Valflame,RecoverRing,NoItem,
,,Commander22,UnitTypeEnemy,,,,,,,,,FireMage,25,3,,$0105,Commander22Name,,Genderless,$FF,,,,,,,,,,,,,,Elfire,NoItem,NoItem,
,,Rotritter4,UnitTypeEnemy,,,,,,,,,FireMage,20,0,,$0106,Rotritter4Name,,Genderless,$FF,,,,,,,,,,,,,,Elfire,NoItem,NoItem,
,,Harold,UnitTypeEnemy,,,,,,,,,General,10,1,,$0107,HaroldName,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,SteelBow,PI_ReturnRing1,
,,GaneshaArmy1,UnitTypeEnemy,,,,,,,,,AxeArmor,7,0,,$0108,GaneshaArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,GaneshaArmy2,UnitTypeEnemy,,,,,,,,,AxeFighter,3,1,,$0109,GaneshaArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,IronAxe,NoItem,NoItem,
,,Bandit4,UnitTypeEnemy,,,,,,,,,Brigand,5,1,,$010A,Bandit4Name,,Genderless,$FF,,,,,,,,,,,,,,IronAxe,NoItem,NoItem,
,,SofalaArmy1,UnitTypeEnemy,,,,,,,,,AxeFighter,12,1,,$010B,SofalaArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,IsaachArmy1,UnitTypeEnemy,,,,,,,,,AxeKnight,12,1,,$010C,IsaachArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
